,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料・基準書,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,
45601,45610,EX002519-01,TF mini Plus レンジファインダー(加工後),株式会社光響,140,2,外観,ハーネス図面AC102,西村,基準書無しなので5個,20,,本社１階,無し,仕損品２　あり　　　　　　　　　　　　247,
45631,12/10～12/23,EX002465-12,H12　Custom,"Skydroid Co., Ltd",250,,外観動作アプリ,受け入れ手順書あり,長屋、加藤、角田、西村,全数,131.5h,のべ２１名,２階フリースペース,設定pc、手袋,作業継続中11日4名6h　12日3名2.5h　18日3名７ｈ　19日3名7h　20日2名３ｈ,
45681,45685,EX000836,コンディションLEDレンズ,RSコンポーネンツ（株）,96,,外観,無し,西村,外観全数,5,,本社1階,ライト,,
45684,45685,EX002537-01,サーボ　AC20-05H-A01,双葉電子工業株式会社,200,,外観,無し,西村田原,外観全数,120,2,本社１階,無し,耳の欠け割れの有無,
45687,検査無し,EX002800-01,USB Connector Cover（TKUCA4）,,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,キャップの為検査無し,
45694,45694,EX002772-00,TC-150PEN5-20 カットサイズ20mm×20mm×1.5t (低比重低硬度放熱シリコーンパッド),五輪パッキング,4,,,,,,,,,,,
45695,45695,EX000920,インペラ・攪拌用モーター,ツカサモーター,50,,外観,無し,西村,外観のみ,15,1,本社1階,無し,検査表あり,
45702,45707,EX002261,H-RTK F9P Rover Lite,ホリブロ,50,,外観,無し,西村,員数、抜き取り10個,10,1,本社1階,無し,本体のみの為、外観確認のみ,
45702,45707,EX002654-01,USB02W-NTT,ブレイブリッジ,120,0,外観,無し,西村,員数のみ,5,1,本社1階,無し,検査基準書無しの為、員数のみ,
45702,45707,EX000800-11,TF mini Plusレンジファインダー,（株）光響,120,,外観,無し,西村,員数、抜き取り10個,15,1,本社1階,無し,員数とレンジ保護シールとシリアルの貼付け確認のみ,
45723,45723,EX000920,インペラ・攪拌用モーター,ツカサモーター,50,,外観,無し,西村,外観のみ,15,1,本社1階,無し,,
45733,45733,EX002519-01,TF mini Plus レンジファインダー(加工後),,110,,先方からの検査表の確認のみ,,,,,,,,,
45771,45771,EX002261,H-RTK F9P Rover Lite,ホリブロ,50,,外観,無し,,,,,,,,
45845,45846,EX002537-01,サーボ　AC20-05H-A01,双葉電子工業株式会社,100,,外観,2025品質基準書（購入部品）,西村,外観,40,3,本社1階,無し,今回より本体小袋入り,
45890,45905,EX002261,H-RTK F9P Rover Lite,,10,,外観,無し,西村,外観全数,10,1,本社1階,無し,確認のみ,
45925,45925,EX002887-11,H-RTK F9P Ultralight,？,30,,外観,無し,,,,,,,,
,45925,EX002519-01,TF mini Plus レンジファインダー(加工後),,,,,無し,,,,,,,,
,45968,EX003032-01,高低圧兼用フラットスプレーチップXR80035VS,スプレーイングシステムズ,200,0,外観,無し,長野将,外観全数,200,1,本社1階,無し,問題なし,
,45968,EX003033-01,ストリームジェット延長アダプター,スプレーイングシステムズ,200,0,外観,無し,長野将,外観全数,200,1,本社1階,無し,問題なし,
,45971,EX000800-11,TF mini Plus レンジファインダー(加工前),光響,330,,外観,無し,西村,抜き取り２０個,30,1,本社1階,無し,問題なし,購入品の為今回より抜き取り外観検査。
,,,,,,,,、,,,,,,,,
